"departureDate","returnDate","price","holiday","daysBeforeDeparture","origin","destination"
10,15,21,"x",180,6,2
10,15,21,"x",179,6,2
10,15,21,"x",178,6,2
10,15,21,"x",177,6,2
10,15,21,"x",176,6,2
10,15,21,"x",175,6,2
10,15,21,"x",174,6,2
10,15,21,"x",173,6,2
10,15,21,"x",172,6,2
10,15,21,"x",171,6,2
10,15,21,"x",170,6,2
10,15,21,"x",169,6,2
10,15,21,"x",168,6,2
10,15,21,"x",167,6,2
10,15,19,"x",166,6,2
10,15,21,"x",165,6,2
10,15,21,"x",164,6,2
10,15,21,"x",163,6,2
10,15,21,"x",162,6,2
10,15,21,"x",161,6,2
10,15,14,"x",160,6,2
10,15,18,"x",159,6,2
10,15,18,"x",158,6,2
10,15,18,"x",157,6,2
10,15,17,"x",156,6,2
10,15,17,"x",155,6,2
10,15,17,"x",154,6,2
10,15,17,"x",153,6,2
10,15,17,"x",152,6,2
10,15,17,"x",151,6,2
10,15,17,"x",150,6,2
10,15,17,"x",149,6,2
10,15,17,"x",148,6,2
10,15,17,"x",147,6,2
10,15,17,"x",146,6,2
10,15,18,"x",145,6,2
10,15,18,"x",144,6,2
10,15,18,"x",143,6,2
10,15,18,"x",142,6,2
10,15,14,"x",141,6,2
10,15,14,"x",140,6,2
10,15,17,"x",139,6,2
10,15,17,"x",138,6,2
10,15,14,"x",137,6,2
10,15,14,"x",136,6,2
10,15,17,"x",135,6,2
10,15,17,"x",134,6,2
10,15,17,"x",133,6,2
10,15,17,"x",132,6,2
10,15,17,"x",131,6,2
10,15,17,"x",130,6,2
10,15,16,"x",129,6,2
10,15,15,"x",128,6,2
10,15,15,"x",127,6,2
10,15,15,"x",126,6,2
10,15,15,"x",125,6,2
10,15,13,"x",124,6,2
10,15,13,"x",123,6,2
10,15,14,"x",122,6,2
10,15,11,"x",121,6,2
10,15,9.7,"x",120,6,2
10,15,9.7,"x",119,6,2
10,15,9.7,"x",118,6,2
10,15,9.7,"x",117,6,2
10,15,9.7,"x",116,6,2
10,15,9.7,"x",115,6,2
10,15,12,"x",114,6,2
10,15,12,"x",113,6,2
10,15,12,"x",112,6,2
10,15,12,"x",111,6,2
10,15,12,"x",110,6,2
10,15,12,"x",109,6,2
