"departureDate","returnDate","price","holiday","daysBeforeDeparture","origin","destination"
44,46,23,"l",180,2,6
44,46,23,"l",179,2,6
44,46,23,"l",178,2,6
44,46,23,"l",177,2,6
44,46,23,"l",176,2,6
44,46,23,"l",175,2,6
44,46,23,"l",174,2,6
44,46,23,"l",173,2,6
44,46,23,"l",172,2,6
44,46,23,"l",171,2,6
44,46,20,"l",170,2,6
44,46,20,"l",169,2,6
44,46,20,"l",168,2,6
44,46,20,"l",167,2,6
44,46,20,"l",166,2,6
44,46,20,"l",165,2,6
44,46,20,"l",164,2,6
44,46,20,"l",163,2,6
44,46,23,"l",162,2,6
44,46,23,"l",161,2,6
44,46,23,"l",160,2,6
44,46,23,"l",159,2,6
44,46,23,"l",158,2,6
44,46,23,"l",157,2,6
44,46,23,"l",156,2,6
44,46,23,"l",155,2,6
44,46,23,"l",154,2,6
44,46,23,"l",153,2,6
44,46,23,"l",152,2,6
44,46,23,"l",151,2,6
44,46,23,"l",150,2,6
44,46,23,"l",149,2,6
44,46,23,"l",148,2,6
44,46,23,"l",147,2,6
44,46,23,"l",146,2,6
44,46,23,"l",145,2,6
44,46,23,"l",144,2,6
44,46,23,"l",143,2,6
44,46,23,"l",142,2,6
44,46,23,"l",141,2,6
44,46,23,"l",140,2,6
44,46,23,"l",139,2,6
44,46,23,"l",138,2,6
44,46,23,"l",137,2,6
44,46,23,"l",136,2,6
44,46,23,"l",135,2,6
44,46,23,"l",134,2,6
44,46,24,"l",133,2,6
44,46,24,"l",132,2,6
44,46,24,"l",131,2,6
44,46,24,"l",130,2,6
44,46,16,"l",129,2,6
44,46,15,"l",128,2,6
44,46,16,"l",127,2,6
44,46,19,"l",126,2,6
44,46,19,"l",125,2,6
44,46,19,"l",124,2,6
44,46,19,"l",123,2,6
44,46,19,"l",122,2,6
44,46,13,"l",121,2,6
44,46,12,"l",120,2,6
44,46,12,"l",119,2,6
44,46,12,"l",118,2,6
44,46,12,"l",117,2,6
44,46,12,"l",116,2,6
44,46,12,"l",115,2,6
44,46,13,"l",114,2,6
44,46,10,"l",113,2,6
44,46,13,"l",112,2,6
44,46,13,"l",111,2,6
44,46,13,"l",110,2,6
44,46,10,"l",109,2,6
44,46,10,"l",108,2,6
44,46,10,"l",107,2,6
44,46,10,"l",106,2,6
44,46,14,"l",105,2,6
44,46,14,"l",104,2,6
44,46,14,"l",103,2,6
44,46,14,"l",102,2,6
44,46,15,"l",101,2,6
44,46,15,"l",100,2,6
44,46,14,"l",99,2,6
44,46,14,"l",98,2,6
44,46,14,"l",97,2,6
